// CODICE  ;TE;EXPAND;EXPAND;EXPAND;EXPAND
T2MA_;45;T2M1_;1;0;p9rmn_
T2MA_;90;T2M2_;1;0;p9rmn_
T2MA_;180;T2M3_;1;0;p9rmn_
B080_;20;C080_;1;0;p9rmn_
T2MA2;45;T2M12;1;0;p9rmn_
T2MA2;90;T2M22;1;0;p9rmn_
T2MA2;180;T2M32;1;0;p9rmn_
T2MA3;30;T2M13;1;0;p9rmn_
T2MA3;60;T2M23;1;0;p9rmn_
T2MA3;120;T2M33;1;0;p9rmn_
T2MA4;40;T2M14;1;0;p9rmn_
T2MA4;80;T2M24;1;0;p9rmn_
T2MA4;120;T2M34;1;0;p9rmn_
BRKA_;20;BRKA7;1;0;p14rmn_
BR5A_;20;BR5A7;1;0;p14rmn_
BR2A_;20;BR2A7;1;0;p14rmn_
HRKA_;20;HRKA7;1;0;p14rmn_
HR5A_;20;HR5A7;1;0;p14rmn_
HR2A_;20;HR2A7;1;0;p14rmn_
HR5A2;20;HR5A5;1;0;p14rmn_
BRKA_;20;BRKA8;1;0;p15rmn_
BR5A_;20;BR5A8;1;0;p15rmn_
BR2A_;20;BR2A8;1;0;p15rmn_
HRKA_;20;HRKA8;1;0;p15rmn_
HR5A_;20;HR5A8;1;0;p15rmn_
HR2A_;20;HR2A8;1;0;p15rmn_
HR5A2;20;HR5A6;1;0;p15rmn_
